ID,JD,m
2434670,5401.9581355,22.255868
2434670,5402.0891077,21.972137
2434670,5402.9735354,21.980222
2434670,5403.1017803,22.179343
2434670,5405.0849484,22.060510
2434670,5405.9658819,22.131142
2434670,5406.0911896,22.424173
2434670,5406.9758876,22.522023
2434670,5407.0994145,22.420585
2434670,5407.9939374,21.873646
2434670,5408.1166705,21.704796
2434670,5408.9792139,22.399496
2434670,5409.1053185,21.985745
2434670,5409.9823251,22.321720
2434670,5410.1001039,22.209189
2434670,5411.0047721,22.091320
2434670,5411.9855225,22.003753
2434670,5412.1118929,21.998932
2434670,5412.9864144,22.052859
2434670,5413.1127638,22.072741
2434670,5413.9793071,22.329267
2434670,5422.9765122,21.897716
2434670,5423.9906755,22.068197
2434670,5424.9894908,22.273224
2434670,5425.9917111,21.821674
2434670,5426.9852579,22.086152
2434670,5427.9759369,22.089362
2434670,5428.9743744,21.968134
2434670,5429.9862300,21.896748
2434670,5430.9813805,22.070806
2434670,5431.9975921,22.344202
2434670,5432.9680967,21.847819
2434670,5433.9559326,21.869636
2434670,5448.9228809,21.998836
2434670,5450.9198137,21.948817
2434670,5451.9162765,21.890310
2434670,5451.9200557,21.914389
2434670,5453.9239156,22.492250
2434670,5454.9173733,21.782398
2434670,5455.9101412,21.993861
2434670,5456.9167307,22.176913
2434670,5457.8966381,22.222627
2434670,5460.9047584,22.624514
2434670,5462.8908179,21.714725
2434670,5463.8838380,21.650056
2434670,5466.8762537,22.157527
2434670,5467.8681866,22.142272
2434670,5468.8721259,22.267551
2434670,5472.8737011,21.898340
2434670,5475.8576968,22.536182
2434670,5476.8560317,21.737793
2434670,5477.8680678,22.055858
2434670,5478.8507687,22.247987
2434670,5479.8471986,22.149044
2434670,5480.8454773,21.998651
2434670,5481.8475803,22.204635
2434670,5483.8325305,21.942980
2434670,5487.8271936,21.997841
2434670,5489.8264797,21.947952
2434670,5498.8109301,21.827229
2434670,5499.8106690,22.125998
2434670,5500.8174470,22.308194
2434670,5501.7778292,21.951148
2434670,5502.7798093,21.879844
2434670,5503.7780546,22.191500
2434670,5510.7774232,22.078938
2434670,5511.7823857,22.135456
2434670,5512.7568609,21.873918
2434670,5514.7691132,22.027345
2434670,5516.7452354,21.824082
2434670,5518.7570997,22.125306
2434670,5521.7280550,22.053096
2434670,5530.7166503,21.820083
2434670,5544.7337011,22.441808
2434670,5555.7296308,22.391303
2434670,5784.1175929,21.778095
2434670,5785.0917382,22.031754
2434670,5797.1088991,22.385212
2434670,5810.0489822,21.851876
2434670,5811.8982582,22.330274
2434670,5812.0296129,22.229758
2434670,5812.8891110,21.988889
2434670,5813.0267578,21.860524
2434670,5813.8752572,22.216364
2434670,5813.9989234,21.875382
2434670,5814.9117036,22.158773
2434670,5815.0395310,22.148882
2434670,5815.8972651,22.257393
2434670,5816.0226980,22.294916
2434670,5816.8854359,21.710987
2434670,5817.0292480,21.968997
2434670,5822.9132967,22.198971
2434670,5823.0432402,22.124457
2434670,5823.9107669,21.883975
2434670,5824.0426285,21.764588
2434670,5824.8933224,21.963793
2434670,5825.0115013,22.088166
2434670,5825.9255549,22.110356
2434670,5826.0474157,22.078980
2434670,5827.9262293,21.835269
2434670,5828.0536072,21.906576
2434670,5828.9453436,22.249859
2434670,5829.0773096,22.138171
2434670,5829.8961904,22.162045
2434670,5830.0238569,22.380078
2434670,5833.8558548,22.301379
2434670,5834.8662332,21.918456
2434670,5834.9778739,21.842834
2434670,5835.8458217,21.965610
